threshold,precision_declined,recall_declined,f1_declined,balanced_accuracy,tp,fp,fn,tn
0.05,0.1554524361948956,0.9852941176470589,0.2685370741482966,0.49264705882352944,67,364,1,0
0.06,0.1554524361948956,0.9852941176470589,0.2685370741482966,0.49264705882352944,67,364,1,0
0.07,0.1542056074766355,0.9705882352941176,0.2661290322580645,0.48804137039431156,66,362,2,2
0.08,0.15456674473067916,0.9705882352941176,0.26666666666666666,0.4894149967679379,66,361,2,3
0.09,0.15492957746478872,0.9705882352941176,0.26720647773279355,0.4907886231415643,66,360,2,4
0.1,0.15492957746478872,0.9705882352941176,0.26720647773279355,0.4907886231415643,66,360,2,4
0.11,0.15492957746478872,0.9705882352941176,0.26720647773279355,0.4907886231415643,66,360,2,4
0.12,0.15529411764705883,0.9705882352941176,0.26774847870182555,0.49216224951519066,66,359,2,5
0.13,0.15529411764705883,0.9705882352941176,0.26774847870182555,0.49216224951519066,66,359,2,5
0.14,0.1536643026004728,0.9558823529411765,0.26476578411405294,0.4861829347123465,65,358,3,6
0.15,0.15476190476190477,0.9558823529411765,0.26639344262295084,0.49030381383322563,65,355,3,9
0.16,0.15458937198067632,0.9411764705882353,0.26556016597510373,0.48981900452488686,64,350,4,14
0.17,0.15571776155717762,0.9411764705882353,0.267223382045929,0.493939883645766,64,347,4,17
0.18,0.15594059405940594,0.9264705882352942,0.2669491525423729,0.49482870071105367,63,341,5,23
0.19,0.1575,0.9264705882352942,0.2692307692307692,0.5003232062055591,63,337,5,27
0.2,0.15949367088607594,0.9264705882352942,0.27213822894168466,0.507191338073691,63,332,5,32
0.21,0.16153846153846155,0.9264705882352942,0.27510917030567683,0.5140594699418229,63,327,5,37
0.22,0.16103896103896104,0.9117647058823529,0.2737306843267108,0.5122010342598577,62,323,6,41
0.23,0.16052631578947368,0.8970588235294118,0.27232142857142855,0.5103425985778927,61,319,7,45
0.24,0.16531165311653118,0.8970588235294118,0.2791762013729977,0.5254524886877828,61,308,7,56
0.25,0.16712328767123288,0.8970588235294118,0.2817551963048499,0.5309469941822883,61,304,7,60
0.26,0.1685082872928177,0.8970588235294118,0.2837209302325581,0.5350678733031674,61,301,7,63
0.27,0.16991643454038996,0.8970588235294118,0.2857142857142857,0.5391887524240465,61,298,7,66
0.28,0.17231638418079095,0.8970588235294118,0.2890995260663507,0.5460568842921785,61,293,7,71
0.29,0.17341040462427745,0.8823529411764706,0.2898550724637681,0.5483193277310924,60,286,8,78
0.3,0.17201166180758018,0.8676470588235294,0.2871046228710462,0.5437136393018747,59,284,9,80
0.31,0.17210682492581603,0.8529411764705882,0.28641975308641976,0.5432288299935358,58,279,10,85
0.32,0.17901234567901234,0.8529411764705882,0.29591836734693877,0.5610859728506787,58,266,10,98
0.33,0.17757009345794392,0.8382352941176471,0.2930591259640103,0.5564802844214609,57,264,11,100
0.34,0.1762820512820513,0.8088235294117647,0.2894736842105263,0.5513897866839044,55,257,13,107
0.35,0.17880794701986755,0.7941176470588235,0.2918918918918919,0.5563994828700711,54,248,14,116
0.36,0.18181818181818182,0.7941176470588235,0.2958904109589041,0.563267614738203,54,243,14,121
0.37,0.18685121107266436,0.7941176470588235,0.3025210084033613,0.5742566257272139,54,235,14,129
0.38,0.1890909090909091,0.7647058823529411,0.3032069970845481,0.5760342598577892,52,223,16,141
0.39,0.1947565543071161,0.7647058823529411,0.31044776119402984,0.5870232708468002,52,215,16,149
0.4,0.20233463035019456,0.7647058823529411,0.32,0.600759534583064,52,205,16,159
0.41,0.21138211382113822,0.7647058823529411,0.33121019108280253,0.6158694246929541,52,194,16,170
0.42,0.20833333333333334,0.7352941176470589,0.3246753246753247,0.6066580478345185,50,190,18,174
0.43,0.21645021645021645,0.7352941176470589,0.33444816053511706,0.6190206851971558,50,181,18,183
0.44,0.22727272727272727,0.7352941176470589,0.3472222222222222,0.6341305753070459,50,170,18,194
0.45,0.22580645161290322,0.7205882352941176,0.34385964912280703,0.629524886877828,49,168,19,196
0.46,0.22926829268292684,0.6911764705882353,0.3443223443223443,0.6285552682611506,47,158,21,206
0.47,0.23115577889447236,0.6764705882352942,0.3445692883895131,0.6280704589528119,46,153,22,211
0.48,0.22994652406417113,0.6323529411764706,0.33725490196078434,0.6183742727860375,43,144,25,220
0.49,0.23333333333333334,0.6176470588235294,0.3387096774193548,0.6192630898513252,42,138,26,226
0.5,0.23214285714285715,0.5735294117647058,0.3305084745762712,0.6095669036845508,39,129,29,235
0.51,0.2392638036809816,0.5735294117647058,0.33766233766233766,0.6164350355526826,39,124,29,240
0.52,0.2214765100671141,0.4852941176470588,0.30414746543778803,0.5833063994828701,33,116,35,248
0.53,0.2246376811594203,0.45588235294117646,0.30097087378640774,0.5809631544925663,31,107,37,257
0.54,0.22627737226277372,0.45588235294117646,0.3024390243902439,0.5823367808661927,31,106,37,258
0.55,0.24166666666666667,0.4264705882352941,0.30851063829787234,0.5882352941176471,29,91,39,273
0.56,0.2413793103448276,0.4117647058823529,0.30434782608695654,0.5850032320620555,28,88,40,276
0.57,0.22727272727272727,0.36764705882352944,0.2808988764044944,0.5670652876535229,25,85,43,279
0.58,0.24509803921568626,0.36764705882352944,0.29411764705882354,0.5780542986425339,25,77,43,287
0.59,0.24742268041237114,0.35294117647058826,0.2909090909090909,0.5761958629605689,24,73,44,291
0.6,0.25609756097560976,0.3088235294117647,0.28,0.5706205559146735,21,61,47,303
0.61,0.2625,0.3088235294117647,0.28378378378378377,0.5733678086619263,21,59,47,305
0.62,0.28,0.3088235294117647,0.2937062937062937,0.5802359405300581,21,54,47,310
0.63,0.2857142857142857,0.29411764705882354,0.2898550724637681,0.5783775048480931,20,50,48,314
0.64,0.2923076923076923,0.27941176470588236,0.2857142857142857,0.5765190691661279,19,46,49,318
0.65,0.3114754098360656,0.27941176470588236,0.29457364341085274,0.5820135746606334,19,42,49,322
0.66,0.32142857142857145,0.2647058823529412,0.2903225806451613,0.5801551389786684,18,38,50,326
0.67,0.34615384615384615,0.2647058823529412,0.3,0.5856496444731739,18,34,50,330
0.68,0.37777777777777777,0.25,0.3008849557522124,0.5865384615384616,17,28,51,336
0.69,0.37209302325581395,0.23529411764705882,0.2882882882882883,0.5805591467356174,16,27,52,337
0.7,0.36585365853658536,0.22058823529411764,0.27522935779816515,0.5745798319327731,15,26,53,338
0.71,0.3684210526315789,0.20588235294117646,0.2641509433962264,0.5699741435035552,14,24,54,340
0.72,0.36363636363636365,0.17647058823529413,0.2376237623762376,0.5593891402714932,12,21,56,343
0.73,0.3870967741935484,0.17647058823529413,0.24242424242424243,0.562136393018746,12,19,56,345
0.74,0.42857142857142855,0.17647058823529413,0.25,0.5662572721396251,12,16,56,348
0.75,0.4444444444444444,0.17647058823529413,0.25263157894736843,0.5676308985132514,12,15,56,349
0.76,0.4782608695652174,0.16176470588235295,0.24175824175824176,0.56439883645766,11,12,57,352
0.77,0.5,0.14705882352941177,0.22727272727272727,0.5597931480284422,10,10,58,354
0.78,0.6,0.1323529411764706,0.21686746987951808,0.5579347123464771,9,6,59,358
0.79,0.6666666666666666,0.11764705882352941,0.2,0.5533290239172592,8,4,60,360
0.8,0.6,0.08823529411764706,0.15384615384615385,0.538623141564318,6,4,62,360
0.81,0.6666666666666666,0.08823529411764706,0.15584415584415584,0.5399967679379444,6,3,62,361
0.82,0.7142857142857143,0.07352941176470588,0.13333333333333333,0.5340174531351002,5,2,63,362
0.83,0.7142857142857143,0.07352941176470588,0.13333333333333333,0.5340174531351002,5,2,63,362
0.84,0.6,0.04411764705882353,0.0821917808219178,0.5193115707821591,3,2,65,362
0.85,0.6,0.04411764705882353,0.0821917808219178,0.5193115707821591,3,2,65,362
0.86,0.6,0.04411764705882353,0.0821917808219178,0.5193115707821591,3,2,65,362
0.87,0.6,0.04411764705882353,0.0821917808219178,0.5193115707821591,3,2,65,362
0.88,0.6,0.04411764705882353,0.0821917808219178,0.5193115707821591,3,2,65,362
0.89,0.0,0.0,0.0,0.49862637362637363,0,1,68,363
0.9,0.0,0.0,0.0,0.49862637362637363,0,1,68,363
0.91,0.0,0.0,0.0,0.49862637362637363,0,1,68,363
0.92,0.0,0.0,0.0,0.49862637362637363,0,1,68,363
0.93,0.0,0.0,0.0,0.49862637362637363,0,1,68,363
0.94,0.0,0.0,0.0,0.49862637362637363,0,1,68,363
0.95,0.0,0.0,0.0,0.5,0,0,68,364
